Rent,Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Listing_Title,Listing_Description,Amenities_Text,Landmarks_Text,Reviews_Text,Complaints_Text,Lease_Rules_Text,Inquiry_Text,Inspection_Notes_Text,Scam_Flag,Scam_Rationale,Cluster
15000,2022-07-06,2,1100,1 out of 2,super area,medavakkam,chennai,semi-furnished,bachelors,2,contact owner,"2 bhk semi-furnished home in medavakkam, chennai","2 bhk semi-furnished home of 1100 sq ft (super area). location: medavakkam, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors. rent: inr 15000 per month.","rainwater harvesting, play area, solar lighting, lift, gated community",near college (3.3 km); near hospital (0.6 km); near mosque (1.1 km),clean and well maintained building. | safe area with friendly neighbors.,not_applicable,no smoking inside the house. tenant must follow society by-laws. security deposit is two months rent. maintenance charges are extra.,looking for a 2 bhk near medavakkam within inr 15000.,flooring shows normal wear. bathrooms are clean and functional.,no,not_applicable,1
6500,2022-05-21,2,1000,ground out of 1,super area,"urapakkam, vandalur r.f, gst road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in urapakkam, vandalur r.f, gst road, chennai","2 bhk semi-furnished home of 1000 sq ft (super area). location: urapakkam, vandalur r.f, gst road, chennai. floor: ground out of 1. bathrooms: 2. tenant preference: bachelors/family. rent: inr 6500 per month.","visitor parking, cctv, power backup, club house, community hall, parking",near market (3.5 km); near school (0.8 km); near bus stop (1.6 km); near atm (3.2 km),clean and well maintained building. | good water supply and quiet neighborhood. | owner is responsive and helpful.,listing photos did not match actual house.,security deposit is two months rent. no loud music after 10 pm. maintenance charges are extra. one month notice required before vacating.,"want to move in next month, budget around inr 6500.",flooring shows normal wear. good natural light in living room. walls need minor repainting.,yes,owner refused physical visit. | asked for payment before sharing address. | unusually low rent for the area.,1
90000,2022-05-20,3,2400,1 out of 3,carpet area,"r.a puram, mandaiveli",chennai,semi-furnished,bachelors/family,3,contact agent,"3 bhk semi-furnished home in r.a puram, mandaiveli, chennai","3 bhk semi-furnished home of 2400 sq ft (carpet area). location: r.a puram, mandaiveli, chennai. floor: 1 out of 3. bathrooms: 3. tenant preference: bachelors/family. rent: inr 90000 per month.","waste management, power backup, lift, fire safety, gated community, gym, visitor parking",near pharmacy (0.6 km); near church (0.6 km),good water supply and quiet neighborhood. | maintenance is timely and professional.,not_applicable,security deposit is two months rent. maintenance charges are extra. tenant must follow society by-laws. pets allowed only with prior approval.,"want to move in next month, budget around inr 90000.",electrical fittings are working properly. flooring shows normal wear. good natural light in living room.,no,not_applicable,0
200000,2022-07-10,3,3000,1 out of 1,super area,madras boat club road,chennai,furnished,family,4,contact agent,"3 bhk furnished home in madras boat club road, chennai","3 bhk furnished home of 3000 sq ft (super area). location: madras boat club road, chennai. floor: 1 out of 1. bathrooms: 4. tenant preference: family. rent: inr 200000 per month.","security, play area, gym, maintenance staff, waste management",near mosque (3.4 km); near atm (1.8 km),parking is convenient and secure. | spacious rooms and good ventilation.,not_applicable,maintenance charges are extra. pets allowed only with prior approval. tenant must follow society by-laws. no smoking inside the house.,"want to move in next month, budget around inr 200000.",walls need minor repainting. good natural light in living room.,no,not_applicable,2
15000,2022-06-25,1,650,ground out of 2,carpet area,kambar colony,chennai,semi-furnished,bachelors/family,1,contact owner,"1 bhk semi-furnished home in kambar colony, chennai","1 bhk semi-furnished home of 650 sq ft (carpet area). location: kambar colony, chennai. floor: ground out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 15000 per month.","maintenance staff, security, rainwater harvesting, cctv, lift",near atm (3.5 km); near hospital (3.8 km); near college (1.9 km); near school (3.7 km),easy access to public transport. | maintenance is timely and professional.,not_applicable,pets allowed only with prior approval. no loud music after 10 pm. security deposit is two months rent. no smoking inside the house.,"need a semi-furnished home in chennai, prefer bachelors/family.",bathrooms are clean and functional. walls need minor repainting. kitchen cabinets in good condition.,no,not_applicable,1
15000,2022-05-18,2,1000,17 out of 31,carpet area,thalambur,chennai,semi-furnished,bachelors,2,contact owner,"2 bhk semi-furnished home in thalambur, chennai","2 bhk semi-furnished home of 1000 sq ft (carpet area). location: thalambur, chennai. floor: 17 out of 31. bathrooms: 2. tenant preference: bachelors. rent: inr 15000 per month.","security, club house, park, maintenance staff, power backup, intercom, visitor parking",near market (2.9 km); near metro station (1.4 km); near railway station (1.6 km); near clinic (0.3 km),safe area with friendly neighbors. | clean and well maintained building.,not_applicable,maintenance charges are extra. tenant must follow society by-laws. no loud music after 10 pm.,looking for a 2 bhk near thalambur within inr 15000.,electrical fittings are working properly. good natural light in living room.,no,not_applicable,1
7600,2022-06-14,2,700,1 out of 3,super area,anakaputhur,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in anakaputhur, chennai","2 bhk unfurnished home of 700 sq ft (super area). location: anakaputhur, chennai. floor: 1 out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 7600 per month.","visitor parking, water supply, rainwater harvesting, intercom, solar lighting, gated community, internet ready, maintenance staff",near bus stop (0.9 km); near clinic (2.6 km),easy access to public transport. | spacious rooms and good ventilation.,not_applicable,one month notice required before vacating. security deposit is two months rent. tenant must follow society by-laws. maintenance charges are extra.,searching for a rental with parking and lift around anakaputhur.,flooring shows normal wear. walls need minor repainting.,no,not_applicable,1
29000,2022-06-14,3,1200,1 out of 3,carpet area,ashok nagar,chennai,semi-furnished,bachelors,3,contact agent,"3 bhk semi-furnished home in ashok nagar, chennai","3 bhk semi-furnished home of 1200 sq ft (carpet area). location: ashok nagar, chennai. floor: 1 out of 3. bathrooms: 3. tenant preference: bachelors. rent: inr 29000 per month.","maintenance staff, security, intercom, fire safety, play area, power backup, community hall",near bus stop (1.4 km); near metro station (1.1 km); near hospital (0.8 km),easy access to public transport. | owner is responsive and helpful. | clean and well maintained building.,owner delayed returning security deposit.,no smoking inside the house. tenant must follow society by-laws. one month notice required before vacating. maintenance charges are extra.,searching for a rental with parking and lift around ashok nagar.,electrical fittings are working properly. walls need minor repainting.,yes,unusually low rent for the area. | owner refused physical visit. | inconsistent photos and description.,0
20000,2022-06-19,3,1710,15 out of 29,super area,"padur, old mahabalipuram road",chennai,semi-furnished,bachelors/family,3,contact owner,"3 bhk semi-furnished home in padur, old mahabalipuram road, chennai","3 bhk semi-furnished home of 1710 sq ft (super area). location: padur, old mahabalipuram road, chennai. floor: 15 out of 29. bathrooms: 3. tenant preference: bachelors/family. rent: inr 20000 per month.","community hall, maintenance staff, gated community, solar lighting, intercom, lift, gym",near atm (3.3 km); near school (2.6 km),good water supply and quiet neighborhood. | spacious rooms and good ventilation. | clean and well maintained building.,not_applicable,one month notice required before vacating. security deposit is two months rent. tenant must follow society by-laws.,"looking for a 3 bhk near padur, old mahabalipuram road within inr 20000.",kitchen cabinets in good condition. good natural light in living room. bathrooms are clean and functional.,no,not_applicable,0
12000,2022-05-12,2,600,1 out of 3,super area,mangadu,chennai,furnished,bachelors/family,2,contact owner,"2 bhk furnished home in mangadu, chennai","2 bhk furnished home of 600 sq ft (super area). location: mangadu, chennai. floor: 1 out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 12000 per month.","water supply, parking, internet ready, security, gym, waste management, gated community",near park (0.7 km); near clinic (1.2 km); near hospital (0.9 km),good water supply and quiet neighborhood. | maintenance is timely and professional.,owner delayed returning security deposit. | water supply issues on some days.,tenant must follow society by-laws. maintenance charges are extra. pets allowed only with prior approval. no smoking inside the house.,"want to move in next month, budget around inr 12000.",electrical fittings are working properly. good natural light in living room.,yes,asked for payment before sharing address. | inconsistent photos and description. | unusually low rent for the area.,1
