Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Description,IsSynthetic
2022-07-06,2,15000,1100,1 out of 2,Super Area,Medavakkam,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,"2 BHK semi-furnished home of 1100 sq ft (super area) in Medavakkam, Chennai. Located on 1 out of 2. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-05-21,2,6500,1000,Ground out of 1,Super Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1000 sq ft (super area) in Urapakkam, Vandalur R.F, GST Road, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 6500.",No
2022-05-20,3,90000,2400,1 out of 3,Carpet Area,"R.A Puram, Mandaiveli",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,"3 BHK semi-furnished home of 2400 sq ft (carpet area) in R.A Puram, Mandaiveli, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 90000.",No
2022-07-10,3,200000,3000,1 out of 1,Super Area,Madras Boat Club Road,Chennai,Furnished,Family,4,Contact Agent,"3 BHK furnished home of 3000 sq ft (super area) in Madras Boat Club Road, Chennai. Located on 1 out of 1. Suitable for Family. 4 bathroom(s). Monthly rent: INR 200000.",No
2022-06-25,1,15000,650,Ground out of 2,Carpet Area,Kambar Colony,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 650 sq ft (carpet area) in Kambar Colony, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 15000.",No
2022-05-18,2,15000,1000,17 out of 31,Carpet Area,Thalambur,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,"2 BHK semi-furnished home of 1000 sq ft (carpet area) in Thalambur, Chennai. Located on 17 out of 31. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-06-14,2,7600,700,1 out of 3,Super Area,Anakaputhur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 700 sq ft (super area) in Anakaputhur, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 7600.",No
2022-06-14,3,29000,1200,1 out of 3,Carpet Area,Ashok Nagar,Chennai,Semi-Furnished,Bachelors,3,Contact Agent,"3 BHK semi-furnished home of 1200 sq ft (carpet area) in Ashok Nagar, Chennai. Located on 1 out of 3. Suitable for Bachelors. 3 bathroom(s). Monthly rent: INR 29000.",No
2022-06-19,3,20000,1710,15 out of 29,Super Area,"Padur, Old Mahabalipuram Road",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,"3 BHK semi-furnished home of 1710 sq ft (super area) in Padur, Old Mahabalipuram Road, Chennai. Located on 15 out of 29. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 20000.",No
2022-05-12,2,12000,600,1 out of 3,Super Area,Mangadu,Chennai,Furnished,Bachelors/Family,2,Contact Owner,"2 BHK furnished home of 600 sq ft (super area) in Mangadu, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
