City,Area Locality,Rent,Size,BHK,Bathroom,Furnishing Status,Tenant Preferred
chennai,medavakkam,15000,1100,2,2,semi-furnished,bachelors
chennai,"urapakkam, vandalur r.f, gst road",6500,1000,2,2,semi-furnished,bachelors/family
chennai,"r.a puram, mandaiveli",90000,2400,3,3,semi-furnished,bachelors/family
chennai,madras boat club road,200000,3000,3,4,furnished,family
chennai,kambar colony,15000,650,1,1,semi-furnished,bachelors/family
chennai,thalambur,15000,1000,2,2,semi-furnished,bachelors
chennai,anakaputhur,7600,700,2,2,unfurnished,bachelors/family
chennai,ashok nagar,29000,1200,3,3,semi-furnished,bachelors
chennai,"padur, old mahabalipuram road",20000,1710,3,3,semi-furnished,bachelors/family
chennai,mangadu,12000,600,2,2,furnished,bachelors/family
chennai,ponmar,10500,1080,2,2,unfurnished,bachelors/family
chennai,annanagar west,29000,1300,2,2,semi-furnished,bachelors/family
chennai,karapakkam,26000,1027,2,2,semi-furnished,bachelors
chennai,alandur,25000,1350,3,3,furnished,family
chennai,selaiyur,10000,950,2,2,unfurnished,family
chennai,iyyappanthangal,14000,1300,2,2,unfurnished,bachelors/family
chennai,poonamallee,6000,600,2,1,unfurnished,bachelors/family
chennai,"chromepet, gst road",40000,1428,3,2,unfurnished,bachelors
chennai,kk nagar,23000,920,2,2,semi-furnished,bachelors/family
chennai,sadhanadhapuram,10000,600,2,2,semi-furnished,bachelors/family
chennai,"tambaram west, tambaram, chennai bypass road",10000,810,2,1,unfurnished,bachelors
chennai,ramapuram,15000,1200,2,2,semi-furnished,bachelors/family
chennai,poongavanapuram,11000,550,1,1,semi-furnished,bachelors/family
chennai,"egmore, ph road",20000,600,2,1,unfurnished,family
chennai,old mahabalipuram road,15000,850,2,1,furnished,bachelors/family
chennai,sholinganallur,22000,2117,4,4,semi-furnished,bachelors/family
chennai,guduvancheri,6000,900,2,2,unfurnished,bachelors
chennai,thiruvanmiyur,20000,1000,2,2,semi-furnished,bachelors/family
chennai,"aminjikarai, ph road",6500,500,1,1,unfurnished,bachelors/family
chennai,"purasawalkam, ph road",12000,800,2,1,semi-furnished,bachelors/family
chennai,alwarpet,27000,1550,2,3,semi-furnished,bachelors/family
chennai,madanankppam,15000,1500,2,2,unfurnished,bachelors/family
chennai,thirumazhisai,20000,1700,3,6,furnished,bachelors/family
chennai,t nagar,22000,700,2,2,semi-furnished,bachelors/family
chennai,koyambedu,7000,400,1,1,unfurnished,bachelors/family
chennai,pammal,7000,450,2,1,semi-furnished,bachelors/family
chennai,velachery,6500,500,1,1,furnished,bachelors/family
chennai,"tambaram, gst road",9000,770,2,2,semi-furnished,bachelors/family
chennai,velachery,4500,150,1,1,semi-furnished,bachelors/family
chennai,perambur,12000,850,2,2,unfurnished,family
chennai,iyyappanthangal,18000,1100,2,2,semi-furnished,bachelors
chennai,"bunder garden, perambur",8000,650,2,1,unfurnished,bachelors/family
chennai,sikkarayapuram,5000,550,1,1,unfurnished,bachelors/family
chennai,kanathur reddikuppam,14000,1000,2,2,unfurnished,bachelors/family
chennai,adambakkam,6500,250,1,1,semi-furnished,bachelors/family
chennai,kovilancheri,10000,790,2,2,semi-furnished,bachelors/family
chennai,medavakkam,13000,600,2,2,semi-furnished,bachelors/family
chennai,nanganallur,11200,700,2,2,unfurnished,bachelors/family
chennai,"karambakkam, porur",8900,550,1,1,unfurnished,bachelors/family
chennai,arumbakkam,12000,500,1,1,unfurnished,bachelors/family
chennai,royapettah,45000,1800,3,3,unfurnished,bachelors
chennai,thiruvanmiyur,35000,1550,3,2,semi-furnished,bachelors
chennai,nandambakkam,34999,1462,3,3,semi-furnished,family
chennai,pallikaranai,11000,970,2,2,semi-furnished,bachelors
chennai,"adyar, sardar patel road",150000,2300,3,3,semi-furnished,bachelors
chennai,nanganallur,15000,700,2,1,unfurnished,bachelors/family
chennai,"chromepet, gst road",15000,674,2,2,unfurnished,bachelors
chennai,tambaram east,10000,750,2,2,unfurnished,family
chennai,tambaram sanatorium,12000,1000,2,2,semi-furnished,bachelors/family
chennai,camp road,10000,1030,2,2,semi-furnished,bachelors/family
chennai,ranganathapuram-medavakkam,35000,1540,3,2,furnished,bachelors
chennai,t nagar,40000,1800,3,3,unfurnished,bachelors
chennai,kodambakkam,24000,1100,2,2,unfurnished,bachelors/family
chennai,oragadam sriperumbudur,12000,985,2,2,unfurnished,bachelors/family
chennai,mandaiveli,30000,1200,2,2,semi-furnished,bachelors/family
chennai,"tambaram, gst road",10000,1200,2,2,unfurnished,bachelors/family
chennai,"purasawalkam, ph road",15000,900,2,2,unfurnished,bachelors/family
chennai,abiramapuram,33000,800,2,2,unfurnished,bachelors/family
chennai,"perungalathur, chennai bypass road",9000,800,2,2,semi-furnished,bachelors/family
chennai,"okkiyam thuraipakkam, e coast road",30000,1500,3,3,semi-furnished,bachelors/family
chennai,t.nagar,13000,680,2,2,unfurnished,bachelors/family
chennai,"kk nagar west, kk nagar",15000,800,2,2,semi-furnished,bachelors/family
chennai,madipakkam,12000,875,2,2,semi-furnished,bachelors
chennai,kk nagar,20000,880,2,2,semi-furnished,family
chennai,choolaimedu,36000,1500,3,3,semi-furnished,bachelors/family
chennai,sithalapakkam,10000,950,2,2,unfurnished,bachelors/family
chennai,mambalam west,16000,850,2,2,semi-furnished,bachelors/family
chennai,pachaiyamman nagar,6000,700,1,1,semi-furnished,bachelors/family
chennai,"pushpa colony, saligramam",22000,2000,3,2,semi-furnished,family
chennai,nungambakkam,6000,450,1,1,unfurnished,bachelors/family
chennai,perungudi,6500,400,1,1,unfurnished,bachelors/family
chennai,ennore,3000,350,1,1,unfurnished,bachelors/family
chennai,"thillai ganga nagar, nanganallur",27000,1650,3,3,semi-furnished,family
chennai,"tambaram, gst road",8000,800,2,1,unfurnished,bachelors/family
chennai,abiramapuram,12500,600,2,1,unfurnished,bachelors/family
chennai,perungudi,11000,800,2,1,unfurnished,bachelors/family
chennai,raja annamalai puram,40000,1600,3,3,semi-furnished,bachelors/family
chennai,choolaimedu,15000,700,2,2,unfurnished,bachelors
chennai,kayarambedu,8000,800,2,2,semi-furnished,bachelors/family
chennai,siruseri,34000,2120,3,3,furnished,bachelors/family
chennai,khurunjis zinnia apartment homes at thambaram west,7500,560,1,1,unfurnished,bachelors/family
chennai,mambalam west,14000,420,1,1,unfurnished,bachelors
chennai,"chromepet, gst road",15000,1000,2,2,furnished,bachelors/family
chennai,ags colony-velachery,21000,1330,3,3,semi-furnished,bachelors/family
chennai,"kelambakkam, old mahabalipuram road",12000,930,3,2,semi-furnished,family
chennai,gopalapuram,75000,1900,3,3,semi-furnished,family
chennai,pallikaranai,15000,1200,2,2,furnished,bachelors/family
chennai,"tambaram, gst road",6000,350,1,1,unfurnished,bachelors/family
chennai,virugambakkam,20500,1000,3,1,semi-furnished,bachelors/family
chennai,"padur, old mahabalipuram road",13500,1210,2,2,semi-furnished,bachelors/family
chennai,pattabiram,10000,750,2,2,unfurnished,bachelors/family
chennai,pallavaram,15000,1150,3,3,semi-furnished,bachelors/family
chennai,east coast road,11000,800,2,2,unfurnished,family
chennai,tiruvallur,12000,930,2,2,furnished,family
chennai,pudur,15000,2800,2,2,unfurnished,family
chennai,vadapalani,20000,800,2,2,semi-furnished,family
chennai,mylapore,24000,850,2,2,unfurnished,bachelors/family
chennai,mylapore,16000,650,2,2,semi-furnished,bachelors/family
chennai,"perungalathur, chennai bypass road",10000,770,2,1,unfurnished,family
chennai,"villivakkam, jawaharlal nehru road",30000,1800,3,3,semi-furnished,bachelors
chennai,jafferkhanpet,26000,1100,3,2,semi-furnished,bachelors/family
chennai,anakaputhur,10000,950,2,2,semi-furnished,bachelors/family
chennai,iyyappanthangal,15000,1250,3,2,semi-furnished,bachelors/family
chennai,mylapore,9000,400,1,1,unfurnished,bachelors/family
chennai,"mappedu, selaiyur",9000,575,2,2,semi-furnished,bachelors/family
chennai,medavakkam,15000,1234,2,2,semi-furnished,bachelors/family
chennai,ambattur,12000,870,2,2,semi-furnished,bachelors/family
chennai,velachery,20000,1162,2,2,semi-furnished,bachelors/family
chennai,irumbuliyur,15000,2200,3,3,unfurnished,bachelors
chennai,sadasiva nagar madipakkam,8000,500,1,1,unfurnished,bachelors/family
chennai,perambur,13000,900,3,1,unfurnished,bachelors/family
chennai,new perungalathur,6800,600,1,1,unfurnished,bachelors/family
chennai,ayanavaram,9000,600,2,1,furnished,bachelors/family
chennai,mathur,14000,1600,3,3,furnished,bachelors/family
chennai,thiruvanmiyur,55000,2400,4,4,unfurnished,bachelors/family
chennai,"adyar, sardar patel road",50000,1600,3,3,semi-furnished,bachelors
chennai,"venkateshwara nagar, ramapuram, ph road",8000,400,1,1,unfurnished,bachelors/family
chennai,kodambakkam,16000,1000,2,2,semi-furnished,bachelors/family
chennai,villvam towers tnhb colony,15000,600,2,2,unfurnished,bachelors
chennai,yes yes saras,15000,750,2,2,unfurnished,bachelors
chennai,thirumullaivoyal,15000,700,2,2,semi-furnished,bachelors/family
chennai,2nd main road,75000,2200,4,5,semi-furnished,family
chennai,kk nagar,9000,500,1,1,semi-furnished,bachelors/family
chennai,ayappakkam,6500,700,1,1,unfurnished,bachelors/family
chennai,perumbakkam,17000,1480,3,2,furnished,bachelors/family
chennai,sholinganallur,49000,1700,3,3,furnished,bachelors
chennai,mangadu,15000,830,2,2,semi-furnished,bachelors/family
chennai,"perungalathur, chennai bypass road",25000,1425,3,2,semi-furnished,bachelors/family
chennai,mandaiveli,40000,1550,3,3,unfurnished,bachelors
chennai,annanagar east,8000,200,1,1,semi-furnished,bachelors/family
chennai,anna nagar west,17500,1200,2,2,semi-furnished,bachelors/family
chennai,medavakkam,11000,800,3,2,semi-furnished,bachelors/family
chennai,thiruporur,8500,1261,3,3,semi-furnished,bachelors/family
chennai,old washermanpet,11000,425,2,2,semi-furnished,bachelors/family
chennai,kazhipattur,12500,940,2,2,unfurnished,bachelors/family
chennai,gopalapuram,90000,2300,3,3,semi-furnished,bachelors
chennai,"thanikachalam nagar, ponniammanmedu",14000,700,2,2,unfurnished,bachelors/family
